id,name,desc,level,image,success_event_ids,source_file
asteroid_uninhabitable_category,,,1,GFX_evt_asteroid_approaching_planet,"GFX_evt_asteroid_approaching_planet, 1, 3, yes, 0, yes, 0, yes, anomaly.660, anomaly.6875",00_anomaly_categories.txt
solar_uninhabitable_category,,,2,GFX_evt_ship_in_orbit,"GFX_evt_ship_in_orbit, 2, 2, yes, anomaly.650",00_anomaly_categories.txt
life_toxic_category,,,2,GFX_evt_microscopic_life,"GFX_evt_microscopic_life, 2, 3, pc_toxic, no, anomaly.690, anomaly.6895",00_anomaly_categories.txt
life_frozen_category,,,2,GFX_evt_microscopic_life,"GFX_evt_microscopic_life, 2, 3, pc_frozen, no, anomaly.2510, anomaly.6900",00_anomaly_categories.txt
life_barren_category,,,2,GFX_evt_microscopic_life,"GFX_evt_microscopic_life, 2, 3, pc_barren, pc_barren_cold, no, anomaly.695",00_anomaly_categories.txt
battle_uninhabitable_category,,,4,GFX_evt_small_space_battle,"GFX_evt_small_space_battle, 4, 3, yes, no, anomaly.2530",00_anomaly_categories.txt
shipyard_uninhabitable_category,,,4,GFX_evt_ruined_system,"GFX_evt_ruined_system, 4, 1, yes, anomaly.2550",00_anomaly_categories.txt
inhabited_toxic_category,,,1,GFX_evt_relic_world_street,"GFX_evt_relic_world_street, 1, 3, pc_toxic, no, anomaly.670, anomaly.685",00_anomaly_categories.txt
writing_uninhabitable_category,,,2,GFX_evt_ship_in_orbit,"GFX_evt_ship_in_orbit, 2, 3, yes, no, anomaly.635",00_anomaly_categories.txt
beacon_uninhabitable_category,,,1,GFX_evt_ship_in_orbit,"GFX_evt_ship_in_orbit, 1, 3, yes, no, anomaly.705",00_anomaly_categories.txt
mountain_uninhabitable_category,,,3,GFX_evt_ship_in_orbit_3,"GFX_evt_ship_in_orbit_3, 3, 3, yes, no, anomaly.2520, anomaly.6905",00_anomaly_categories.txt
object_uninhabitable_category,,,2,GFX_evt_ship_in_orbit_2,"GFX_evt_ship_in_orbit_2, 2, 3, yes, no, anomaly.2540",00_anomaly_categories.txt
signal_gasgiant_category,,,5,GFX_evt_atmospheric_flight,"GFX_evt_atmospheric_flight, 5, 1, pc_gas_giant, yes, anomaly.5000",00_anomaly_categories.txt
ship_gasgiant_category,,,5,GFX_evt_atmospheric_flight,"GFX_evt_atmospheric_flight, 5, 3, pc_gas_giant, anomaly.2560",00_anomaly_categories.txt
terminal_gasgiant_category,,,5,GFX_evt_ship_in_orbit_3,"GFX_evt_ship_in_orbit_3, 5, 30, 3, pc_gas_giant, no, anomaly.2570",00_anomaly_categories.txt
sol_wasteland_category,,,1,GFX_evt_city_ruins,"GFX_evt_city_ruins, 1, galactic_features.104",00_anomaly_categories.txt
living_metal_category,,,7,GFX_evt_cold_barren,"GFX_evt_cold_barren, 7, yes, 0.1, pc_barren, pc_barren_cold, yes, no, 0, shipclass_mining_station, shipclass_research_station, anomaly.2576",00_anomaly_categories.txt
the_lonely_bot_category,,,3,,"yes, 3, 0.1, yes, 3, pc_relic, 0, yes, yes, anomaly.2580",00_anomaly_categories.txt
fungal_emitters_category,,,4,GFX_evt_cold_barren,"GFX_evt_cold_barren, 4, 30, pc_barren, fumongus_spawned, fumongus_system, 1, 12, 0, fumongus_resolved, anomaly.6755, 0, fumongus_resolved, fumongus_active, anomaly.6760, 0, fumongus_dismantled, fumongus_resolved, anomaly.6765",00_anomaly_categories.txt
lost_soul_cat,,,2,GFX_evt_star_neutron,"GFX_evt_star_neutron, 2, 3, yes, anomaly.6786",00_anomaly_categories.txt
on_solar_sails_cat,,,2,GFX_evt_star_neutron,"GFX_evt_star_neutron, 2, yes, 0.1, trait_aquatic, 0.3, trait_aquatic, 0, yes, anomaly.7020",00_anomaly_categories.txt
on_crashed_ship_cat,,,2,GFX_evt_physics_cache,"GFX_evt_physics_cache, 2, 3, yes, 0, yes, anomaly.7030",00_anomaly_categories.txt
AST_WAVELENGTHS_1_CAT,,,1,,"1, 3, yes, 0, yes, anomaly.75, 0, yes, anomaly.115, anomaly.130, 1, leader_trait_expertise_statecraft, leader_trait_expertise_statecraft_2, leader_trait_expertise_statecraft_3, trait_machine_unit, leader_trait_expertise_biology, leader_trait_expertise_biology_2, leader_trait_expertise_biology_3, trait_machine_unit, birth_of_piracy, 0, yes, anomaly.3065",01_anomaly_categories.txt
AST_DEBRIS_FIELD_1_CAT,,,3,,"3, yes, 3, yes, com_sol, nuked_sol, lost_colony_sol, human_1, humans_early_space_age, found_voyager, found_pioneer, 10, com_sol, nuked_sol, lost_colony_sol, primitive, humans_early_space_age, yes, human_1, human_2, found_pioneer, found_voyager, anomaly.95, 10, human_1, human_2, yes, found_pioneer, anomaly.100, 10, com_sol, nuked_sol, lost_colony_sol, primitive, humans_early_space_age, yes, human_1, human_2, found_pioneer, found_voyager, anomaly.105, 10, story7, leader, trait_ruler_champion_of_the_people, anomaly.3040",01_anomaly_categories.txt
HBL_LUSH_PLANET_1_CAT,,,4,,"4, 3, pc_continental, pc_tropical, anomaly.85, anomaly.90, 1, human_1, human_2, yes, found_voyager, anomaly.110, 1, SA, anomaly.3130",01_anomaly_categories.txt
UHB_ANCIENT_RUINS_1_CAT,,,3,,"3, 3, no, no, no, yes, pc_gas_giant, anomaly.120",01_anomaly_categories.txt
GEN_PLAYGROUND_CAT,,,3,,"3, 3, no, no, no, pc_gas_giant, 0, yes, anomaly.135",01_anomaly_categories.txt
AST_SHRINE_1_CAT,,,3,,"3, 3, yes, no, yes, sol, 0, ethic_gestalt_consciousness, origin_shoulders_of_giants, anomaly.140",01_anomaly_categories.txt
HBL_MUSIC_1_CAT,,,5,,"5, 3, yes, 1, HBL_MUSIC_1_FLAG, anomaly.145, anomaly.3080",01_anomaly_categories.txt
GAS_ZRO_ICE_CAT,,,6,,"6, 3, pc_gas_giant, tech_mine_zro, zroni_intro, no, anomaly.150",01_anomaly_categories.txt
AST_ILLICIT_DARK_CAT,,,7,,"7, 3, yes, no, anomaly.155",01_anomaly_categories.txt
TOX_PURPLE_RAIN_CAT,,,7,,"7, 3, pc_toxic, 0, ethic_gestalt_consciousness, anomaly.160",01_anomaly_categories.txt
FROZ_BASE_CAT,,,2,,"2, planet, ship, 0, 3, pc_frozen, ethic_gestalt_consciousness, ship, planet, anomaly.170, 0, MOL, anomaly.175",01_anomaly_categories.txt
TROP_PETS_CAT,,,4,,"4, 3, pc_tropical, anomaly.180",01_anomaly_categories.txt
BARR_BASE_CAT,,,5,,"5, yes, 3, pc_barren, 0, ethic_gestalt_consciousness, anomaly.185",01_anomaly_categories.txt
PROJ_MOON_CAT,,,3,,"3, 3, yes, no, yes, yes, no, anomaly.190",01_anomaly_categories.txt
SEA_CAT,,,2,,"2, 3, pc_ocean, anomaly.195",01_anomaly_categories.txt
MOLTEN_BASE_CAT,,,2,,"2, 3, pc_molten, no, anomaly.200",01_anomaly_categories.txt
LEVELED_CAT,,,1,,"1, 3, yes, anomaly.205",01_anomaly_categories.txt
DIMENSIONAL_POCKET_CAT,,,6,,"6, 3, yes, anomaly.210, anomaly.295",01_anomaly_categories.txt
HAB_CORN_CAT,,,4,,"4, 3, pc_tropical, pc_continental, pc_ocean, 0, no, civic_machine_servitor, anomaly.215, anomaly.3025",01_anomaly_categories.txt
HAB_MAT_CAT,,,4,,"4, 3, pc_tropical, pc_continental, pc_arid, anomaly.220",01_anomaly_categories.txt
ATM_ANOMALY_CAT,,,3,,"3, 3, yes, no, anomaly.225",01_anomaly_categories.txt
FRBR_GRIMACING_CAT,,,5,,"5, 3, pc_barren, no, anomaly.230",01_anomaly_categories.txt
FROZ_ILLUMINATED_CAT,,,3,,"3, 3, pc_frozen, tech_lasers_1, tech_lasers_3, tech_lasers_4, tech_lasers_5, anomaly.235",01_anomaly_categories.txt
GAS_CLOUDY_CAT,,,1,,"1, 3, pc_gas_giant, anomaly.240",01_anomaly_categories.txt
GAIA_MOVE_CAT,,,3,,"3, 3, pc_gaia, anomaly.245",01_anomaly_categories.txt
FROZ_BOX_CAT,,,2,,"2, 3, pc_frozen, anomaly.250",01_anomaly_categories.txt
CONT_SIGNS_CAT,,,4,,"4, 3, pc_continental, pc_tropical, pc_tundra, anomaly.255",01_anomaly_categories.txt
FROZ_BASE2_CAT,,,4,,"4, 3, pc_arctic, anomaly.260",01_anomaly_categories.txt
AST_CRATER_CAT,,,1,,"1, 3, yes, no, anomaly.265, anomaly.270, 1, tech_thrusters_2, anomaly.275",01_anomaly_categories.txt
BAR_COLONY_CAT,,,6,,"6, 3, pc_barren, 0, yes, anomaly.285, anomaly.3015",01_anomaly_categories.txt
TOX_MAT_CAT,,,2,,"2, 3, pc_toxic, no, anomaly.290",01_anomaly_categories.txt
AST_CLUSTER_CAT,,,3,,"3, 3, yes, 1, leader_trait_carefree, leader_trait_carefree_2, leader_trait_meticulous, leader_trait_meticulous_2, anomaly.3000, 1, leader_trait_expertise_voidcraft, leader_trait_expertise_materials, leader_trait_expertise_propulsion, leader_trait_expertise_industry, leader_trait_expertise_field_manipulation, leader_trait_expertise_particles, leader_trait_expertise_psionics, leader_trait_expertise_computing, leader_trait_expertise_new_worlds, leader_trait_expertise_statecraft, leader_trait_expertise_biology, leader_trait_expertise_military_theory, leader_trait_expertise_voidcraft_2, leader_trait_expertise_materials_2, leader_trait_expertise_propulsion_2, leader_trait_expertise_industry_2, leader_trait_expertise_field_manipulation_2, leader_trait_expertise_particles_2, leader_trait_expertise_psionics_2, leader_trait_expertise_computing_2, leader_trait_expertise_new_worlds_2, leader_trait_expertise_statecraft_2, leader_trait_expertise_biology_2, leader_trait_expertise_military_theory_2, leader_trait_expertise_voidcraft_3, leader_trait_expertise_materials_3, leader_trait_expertise_propulsion_3, leader_trait_expertise_industry_3, leader_trait_expertise_field_manipulation_3, leader_trait_expertise_particles_3, leader_trait_expertise_psionics_3, leader_trait_expertise_computing_3, leader_trait_expertise_new_worlds_3, leader_trait_expertise_statecraft_3, leader_trait_expertise_biology_3, leader_trait_expertise_military_theory_3, anomaly.3005, anomaly.3010, 1, default, prev, yes, ethic_gestalt_consciousness, yes, anomaly.3085",01_anomaly_categories.txt
GAEA_CHECKERED_CAT,,,2,,"2, 3, pc_gaia, anomaly.3020",01_anomaly_categories.txt
GEN_ABANDONED_SHIP_CAT,,,8,,"8, 3, pc_continental, pc_arid, anomaly.3030",01_anomaly_categories.txt
GEN_DESERT_CAT,,,3,,"3, 3, pc_desert, 1, leader_trait_meticulous, leader_trait_carefree, leader_trait_meticulous_2, leader_trait_carefree_2, energy, 50, anomaly.3035, anomaly.3135, anomaly.3060",01_anomaly_categories.txt
TOX_STRUCTURES_CAT,,,8,,"8, 3, pc_toxic, no, anomaly.3050",01_anomaly_categories.txt
TROP_WOODS_CAT,,,3,,"3, 3, pc_tropical, 0, yes, civic_machine_servitor, anomaly.3055",01_anomaly_categories.txt
HOLE_RADIATION_CAT,,,5,,"5, 3, sc_black_hole, no, 1, leader_trait_paranoid, no, anomaly.3070, anomaly.3075",01_anomaly_categories.txt
UHB_BUOY_CAT,,,3,,"3, 3, pc_toxic, pc_barren_cold, pc_barren, pc_frozen, pc_nuked, nuked_planet_anomalies_disabled, birth_of_piracy, ethic_gestalt_consciousness, anomaly.3090",01_anomaly_categories.txt
GAIA_RECORD_CAT,,,7,,"7, 3, pc_gaia, pc_continental, anomaly.3110",01_anomaly_categories.txt
CRYSTAL_MANUFACTORY_CAT,,,3,,"3, anomaly.3125",01_anomaly_categories.txt
TROP_BIOLOGY_CAT,,,3,,"3, 3, pc_tropical, anomaly.4000",02_anomaly_categories.txt
AST_MINING_CAT,,,2,,"2, 3, yes, no, anomaly.4005",02_anomaly_categories.txt
GEN_DERELICT_SHIP_CAT,,,2,,"2, 3, pc_tundra, pc_barren_cold, 0, yes, anomaly.4010",02_anomaly_categories.txt
GEN_LOST_CARGO_CAT,,,6,,"6, 3, yes, anomaly.4015, anomaly.4085",02_anomaly_categories.txt
GEN_OLD_WAR_CAT,,,2,,"2, 3, pc_tundra, pc_nuked, pc_toxic, nuked_planet_anomalies_disabled, anomaly.4020, 0, yes, masters_writings_war_found, anomaly.4165",02_anomaly_categories.txt
DES_BURIED_CAT,,,4,,"4, 3, pc_desert, yes, 0, ai_admiral_found, anomaly.4030, 0, yes, masters_writings_politics_found, anomaly.4135",02_anomaly_categories.txt
SUN_RAYS_CAT,,,5,,"5, 3, pc_desert, pc_arid, yes, 0, tech_zero_point_power, anomaly.4035, anomaly.4040",02_anomaly_categories.txt
WAT_PLANET_CAT,,,3,,"3, 3, pc_ocean, interference_not_allowed, yes, anomaly.4045",02_anomaly_categories.txt
COLD_RESEARCH_CAT,,,3,,"3, 3, pc_frozen, pc_barren_cold, 0, yes, 0, yes, anomaly.4055, 0, interference_not_allowed, anomaly.4075, 0, yes, anomaly.4120, 0, yes, masters_writings_philosophy_found, anomaly_140_triggered, anomaly.4140",02_anomaly_categories.txt
SUN_TEAPOT_CAT,,,5,,"5, 1, pc_k_star, pc_m_star, 0.80, anomaly.4060",02_anomaly_categories.txt
AST_GEAR_CAT,,,6,,"6, 3, yes, anomaly.4065",02_anomaly_categories.txt
TROP_CONDITIONS_CAT,,,3,,"3, 3, pc_tropical, 0, yes, civic_machine_servitor, anomaly.4070",02_anomaly_categories.txt
ARID_SENSOR_CAT,,,6,,"6, 3, pc_arid, anomaly.4080",02_anomaly_categories.txt
CON_BIOLOGY_CAT,,,1,,"1, 3, pc_continental, 0, yes, anomaly.4095, 0, yes, anomaly.4100, anomaly.4115, 0, masters_writings_diplomacy_found, anomaly.4150",02_anomaly_categories.txt
TOX_PLANET_CAT,,,3,,"3, 3, pc_toxic, anomaly.4105",02_anomaly_categories.txt
DES_PLANET_CAT,,,1,,"1, 3, pc_desert, anomaly.4110",02_anomaly_categories.txt
GEN_MYSTICAL_CAT,,,7,,"7, 1, yes, 0, yes, anomaly.4130",02_anomaly_categories.txt
NUKE_PLANET_CAT,,,5,,"5, 3, pc_nuked, nuked_planet_anomalies_disabled, 0, yes, civic_memorialist, anomaly.4155",02_anomaly_categories.txt
RADIOACTIVE_PLANET_CAT,,,2,,"2, 3, pc_nuked, nuked_planet_anomalies_disabled, anomaly.680",02_anomaly_categories.txt
ARID_PLANET_CAT,,,3,,"3, 3, pc_arid, anomaly.4170",02_anomaly_categories.txt
NANO_SWARM_CAT,,,6,,"6, 0, anomaly.6700",02_anomaly_categories.txt
STAR_RESONANCE_CAT,,,2,,"2, 1, pc_k_star, pc_m_star, no, 0.60, anomaly.6740",02_anomaly_categories.txt
ALPHA_CENTAURI_CAT,,,1,GFX_evt_cold_barren,"GFX_evt_cold_barren, 1, 0, planet_earth, anomaly.6745, 0, planet_earth, anomaly.6750",02_anomaly_categories.txt
TEMPORAL_PRISM_CAT,,,5,,"5, 3, yes, anomaly.6788",02_anomaly_categories.txt
VENDING_MACHINE_CAT,,,3,,"3, 3, yes, 0, 0, yes, anomaly.7000",02_anomaly_categories.txt
TIYANKI_ASTEROID_CAT,,,3,,"3, 0, yes, anomaly.7100",02_anomaly_categories.txt
UBUME_BABY_CAT,,,3,GFX_evt_asteroid_field,"GFX_evt_asteroid_field, 3, anomaly.6791",02_anomaly_categories.txt
UNIQUE_SYSTEM_BATTLE_CAT,,,5,GFX_evt_space_debris,"GFX_evt_space_debris, 5, unique.125",02_anomaly_categories.txt
SINGING_PLANET_CAT,,,7,GFX_evt_decryption,"GFX_evt_decryption, 7, 2, pc_frozen, pc_barren, pc_barren_cold, pc_toxic, pc_broken, pc_gas_giant, pc_molten, yes, yes, anomaly.7101",02_anomaly_categories.txt
FROZEN_SPRINGS_CAT,,,2,GFX_evt_microscopic_life,"GFX_evt_microscopic_life, 2, 3, pc_frozen, anomaly.3140",02_anomaly_categories.txt
SOLARPUNK_CAT,,,7,GFX_evt_vortex,"GFX_evt_vortex, 7, 0, fircon.5010",02_anomaly_categories.txt
DATA_DIAMOND_CAT,,,4,GFX_evt_frozen,"GFX_evt_frozen, 4, 1, pc_frozen, no, 0, no, yes, yes, anomaly.3145",02_anomaly_categories.txt
INTEMPORAL_ORB_CAT,,,2,GFX_evt_ship_in_orbit,"GFX_evt_ship_in_orbit, 2, yes, 0.50, 1, no, pc_gas_giant, no, anomaly.7105",02_anomaly_categories.txt
RAPID_DESERTIFICATION_CAT,,,1,GFX_evt_unidentified_monster,"GFX_evt_unidentified_monster, 1, yes, 1, pc_desert, pc_arid, no, no, 0.70, anomaly.7135",02_anomaly_categories.txt
BREACHSEALER_CAT,,,1,GFX_evt_shrouded_planet,"GFX_evt_shrouded_planet, 1, anomaly.7200",02_anomaly_categories.txt
paragon_beholder_category,,,2,GFX_evt_ship_in_orbit_3,"paragon_beholder_category_desc, GFX_evt_ship_in_orbit_3, 2, 3, yes, pre_sapient_planet, missing_scientist_planet, 0, yes, yes, yes, no, beholder_presapients, no, trait_psionic, paragon.3",100_anomaly_categories_paragon.txt
ASTRAL_SCAR_CAT,,,6,GFX_evt_astral_scar,"anomaly_astral_scar_desc, GFX_evt_astral_scar, 6, 0, yes, astral_planes.6000",101_anomaly_categories_astral_planes.txt
GREATEST_SHOW_CAT,,,2,GFX_evt_asteroid_field,"anomaly_greatest_show_desc, GFX_evt_asteroid_field, 2, 0, 3, yes, tech_astral_harvesting, interdimensional_circus, yes, yes, yes, greatest_show_anomaly_found, astral_planes.6010",101_anomaly_categories_astral_planes.txt
BLACK_HOLE_INSTABLE_CAT,,,5,GFX_evt_black_hole,"anomaly_black_hole_instable_desc, GFX_evt_black_hole, 5, 0, 30, yes, sc_black_hole, tech_astral_harvesting, yes, yes, yes, astral_planes.6020",101_anomaly_categories_astral_planes.txt
SPONTANEOUS_EXPLOSIONS_CAT,,,3,GFX_evt_nuclear_explosion,"anomaly_spontaneous_explosions_desc, GFX_evt_nuclear_explosion, 3, 0, 100, pc_nuked, yes, yes, yes, yes, astral_planes.6060",101_anomaly_categories_astral_planes.txt
STORMS_PREC_WM_ONE,,,,,"yes, 0, precursor_world, cstorms.105",102_anomaly_categories_cosmic_storms.txt
STORMS_PREC_ONE,,,,,"yes, 0, precursor_world, precursor_system, cstorms.205",102_anomaly_categories_cosmic_storms.txt
crimson_crawlers_category,,,3,GFX_evt_crimson_crawlers,"GFX_evt_crimson_crawlers, 3, no, yes, 10, 5, 0, no, no, no, prescripted_ideal, no, no, crimson_crawlers, cstorms.1255",102_anomaly_categories_cosmic_storms.txt
STORMS_ANOM_ANTS,,,3,,"3, yes, 0, small_debris_object, cstorms.5020",102_anomaly_categories_cosmic_storms.txt
STORMS_ANOM_BRAIN,,,5,,"5, yes, 0, small_debris_object, cstorms.5025",102_anomaly_categories_cosmic_storms.txt
STORMS_ANOM_STAT,,,3,,"3, yes, 0, cstorms.5030",102_anomaly_categories_cosmic_storms.txt
but_they_are_cute_category,,,2,GFX_evt_but_they_are_cute,"GFX_evt_but_they_are_cute, yes, 2, 3, yes, 0, yes, yes, cstorms.1500",102_anomaly_categories_cosmic_storms.txt
terrestial_telescope_category,,,3,GFX_evt_space_station,"GFX_evt_space_station, 3, no, 0, cstorms.1605",102_anomaly_categories_cosmic_storms.txt
the_imitator_category,,,3,GFX_evt_space_debris,"GFX_evt_space_debris, yes, 3, no, 0, cstorms.1550",102_anomaly_categories_cosmic_storms.txt
STORMS_ANOM_POLYCHROMATIC,,,2,GFX_evt_star_pulsar,"GFX_evt_star_pulsar, yes, 2, no, 0, yes, cstorms.5035",102_anomaly_categories_cosmic_storms.txt
STORMS_ANOM_TRIPLETS,,,2,GFX_evt_crystal_asteroids,"GFX_evt_crystal_asteroids, yes, 2, no, 0, cstorms.5040",102_anomaly_categories_cosmic_storms.txt
STORMS_ANOM_TRAVELLERS,,,2,GFX_evt_ship_in_orbit,"GFX_evt_ship_in_orbit, yes, 2, no, 0, cstorms.5050",102_anomaly_categories_cosmic_storms.txt
STORMS_COSMIC_SLUDGE,,,2,GFX_evt_star_chart,"GFX_evt_star_chart, yes, 2, no, 0, cstorms.5060",102_anomaly_categories_cosmic_storms.txt
STORMS_SHATTERED_SATTELITE,,,2,GFX_evt_star_chart,"GFX_evt_star_chart, yes, 2, no, 0, cstorms.5070",102_anomaly_categories_cosmic_storms.txt
STORMS_EVISCERATED_FAUNA,,,2,GFX_evt_star_chart,"GFX_evt_star_chart, 2, yes, 0, cstorms.5080",102_anomaly_categories_cosmic_storms.txt
STORMS_DISPLACED_TIYANKI,,,2,GFX_evt_tiyanki_family,"GFX_evt_tiyanki_family, 2, yes, 0, cstorms.5090",102_anomaly_categories_cosmic_storms.txt
strange_signal_category,,,2,GFX_evt_cold_barren,"GFX_evt_cold_barren, 2, 2, pc_barren, pc_barren_cold, no, ethic_gestalt_consciousness, origin_remnants, 300, federations2.1",92_anomaly_categories_federations.txt
SEA_CRYSTAL_CAT,,,3,GFX_evt_ship_in_orbit,"GFX_evt_ship_in_orbit, 3, yes, 2, pc_ocean, ethic_gestalt_consciousness, federations3.100",92_anomaly_categories_federations.txt
WENKWORT_CAT,,,4,GFX_evt_continental,"GFX_evt_continental, 4, yes, federations3.115",92_anomaly_categories_federations.txt
ANCREL_RUBRICATOR_CAT,,,4,,"4, 0.6, 1, yes, yes, yes, ancrel.4010",93_anomaly_categories_ancient_relics.txt
ANCREL_ARC_CAT,,,3,,"3, 0, ancrel.107",93_anomaly_categories_ancient_relics.txt
ANCREL_MECHANO_CAT,,,5,,"5, 0, ancrel.2050",93_anomaly_categories_ancient_relics.txt
DISTAR_WRECK_CAT,,,2,,"2, 1, yes, no, yes, default, no, from.owner, from.owner, from.owner, distar.1",95_anomaly_categories_distant_stars.txt
DISTAR_FLARE_CAT,,,1,,"1, 0, distar.6",95_anomaly_categories_distant_stars.txt
DISTAR_RAINBOW_CAT,,,4,,"4, 1, yes, yes, sc_black_hole, no, distar.15",95_anomaly_categories_distant_stars.txt
DISTAR_HOLO_CAT,,,4,,"4, 1, yes, yes, sc_black_hole, distar.20",95_anomaly_categories_distant_stars.txt
DISTAR_ROBO_CAT,,,1,,"1, 0, no, distar.25",95_anomaly_categories_distant_stars.txt
DISTAR_NANO_CAT,,,4,,"4, 1, yes, pc_barren_cold, pc_frozen, no, yes, distar.40",95_anomaly_categories_distant_stars.txt
DISTAR_FLOW_CAT,,,2,,"2, 100, yes, yes, gateway_ruined, no, yes, distar.45",95_anomaly_categories_distant_stars.txt
DISTAR_LOST_CAT,,,2,,"2, 1, pc_gas_giant, 0, no, tiyanki_home_system, amoeba_home_system, distar.50",95_anomaly_categories_distant_stars.txt
DISTAR_TIME_CAT,,,1,,"1, 1, yes, sc_neutron_star, sc_pulsar, 0, no, mol4, yes, distar.60",95_anomaly_categories_distant_stars.txt
DISTAR_CLONE_CAT,,,6,,"6, yes, distar.70",95_anomaly_categories_distant_stars.txt
DISTAR_GEODE_CAT,,,5,,"5, 2, yes, yes, no, distar.75",95_anomaly_categories_distant_stars.txt
DISTAR_DEAD_GOD_CAT,,,2,,"2, 1000, yes, yes, no, owner, yes, yes, root, owner, yes, yes, root, dead_god_planet_hidden, -1, distar.80",95_anomaly_categories_distant_stars.txt
DISTAR_ELECTRO_CAT,,,2,,"2, 1, yes, no, yes, yes, distar.85",95_anomaly_categories_distant_stars.txt
DISTAR_RUM_CAT,,,2,,"2, 1, yes, pc_gas_giant, yes, no, yes, civic_machine_terminator, civic_machine_assimilator, yes, default, from.owner, yes, from.owner, 0, yes, distar.90, 0, no, distar.91",95_anomaly_categories_distant_stars.txt
DISTAR_SOOTHE_CAT,,,1,,"1, 1, yes, 0, no, yes, distar.95",95_anomaly_categories_distant_stars.txt
DISTAR_SOOTHE_GC_CAT,,,1,,"1, 1, yes, 0, no, no, distar.100",95_anomaly_categories_distant_stars.txt
DISTAR_EXO_CAT,,,1,,"1, 10, yes, yes, exofungus, -1, distar.105",95_anomaly_categories_distant_stars.txt
DISTAR_ICE_CAT,,,1,,"1, 1, yes, pc_frozen, shipclass_mining_station, distar.110",95_anomaly_categories_distant_stars.txt
DISTAR_METAL_CAT,,,1,,"1, 1, yes, pc_toxic, shipclass_research_station, distar.115",95_anomaly_categories_distant_stars.txt
DISTAR_OCEAN_CAT,,,1,,"1, 1, yes, pc_ocean, distar.120",95_anomaly_categories_distant_stars.txt
DISTAR_COLLAPSE_CAT,,,6,,"6, 0, no, distar.125",95_anomaly_categories_distant_stars.txt
